Course Name,Course ID,Credit Count,Prerequisites
CPT: Co-Operative Experience,ANTH 398,0,"ART 260 or consent
ART 419 Gender in Art 3 credits
Historical survey of the representation of gender with comparison of
the artistic efforts of males and females and examination of art used
to present gender-based issues including homosexuality, feminism,
censorship and pornography"
Archaeology of Minnesota,ANTH 410,4,"ART 261 or consent
ART 420 Graphic Design III 3-6 credits
This course is split between engagement in advanced design
problems and preparation for entry into the graphic design field"
Archaeology of Native North America,ANTH 411,4,"ART 320, ART 404, ART 406
ART 421 Art Methods Elementary School 3 credits
Art expression related to child growth, development and teaching
strategies"
Archaeology of Latin America,ANTH 412,4,"ART 100 or ART 101, Jr"
Museology,ANTH 414,4,"ART 421
ART 426 Art Methods Secondary School 3 credits
The characteristics of art expression and evaluation at the junior
and senior high level: the status, curricula and strategies of teaching"
Cultural Resource Management,ANTH 415,4,"ART 421
ART 434 Arts Administration 3 credits
Theoretical and practical aspects of administering arts organizations"
"or consent
ANTH 416 Archeological Methods",ANTH 210,4,"ART 392, ART 406
ART 440 Painting 3-6 credits
Advanced painting"
Quaternary Environments and Climatic Change,ANTH 417,4,"ART 340
ART 444 Typography III 3 credits
This course continues students"
Human Osteology,ANTH 420,4,"ART 392, ART 404
ART 450 Advanced Ceramics 3-6 credits
An advanced course which emphasizes individual research in technical,
aesthetic and conceptual considerations"
"Health, Culture, and Disease",ANTH 421W,4,"ART 350
ART 460 Ancient Art 3 credits
Introduction to the art and architecture of the ancient era in its historical
and cultural frameworks"
Forensic Anthropology,ANTH 422,4,"ART 260 or consent
ART 462 Renaissance Art 3 credits
Origins and development of Northern and Italian Renaissance art and
architecture as an expression of historical, cultural and religious issues"
ANTH 424 Bioarchaeology,ANTH 420,4,"ART 261 or consent
ART 463 Mannerism to Romanticism 3 credits
Historical survey of art, architecture and urban planning in Europe and
America from the late sixteenth to mid-nineteenth century: Mannerism,
Baroque, Rococo, Neoclassicism and Romanticism"
Anthropology of Death,ANTH 425W,4,"ART 392, ART 406
ART 464 Art Museum and Exhibition Studies 3 credits
The study of art museum history, theory and practice, including ethics,
collecting, and display"
Peoples and Cultures of Latin America,ANTH 430,4,"ART 260, ART 261
ART 466 Realism to Postmodernism 3 credits
Historical survey of art, architecture and urban planning in Europe
and America from the mid-nineteenth century to the present: Realism,
Impressionism, Expressionism, Surrealism, Abstract Expressionism,
Minimalism, Op Art, Pop Art, and Post-modern issues and trends"
Applied Cultural Research,ANTH 431,3,"ART 261 or consent
ART 467 Art of the Islamic World 3 credits
Historical survey of art and architectural developments from Islam"
"Kinship, Marriage and Family",ANTH 432,3,"ART 260, ART 261 or consent
ART 470 Printmaking: Advanced Studio 3-6 credits
Continued investigation of advanced print making techniques and
concepts"
Anthropology of Gender,ANTH 433,4,"ART 370
ART 475 Advanced Photography Studio 3-6 credits
Expanding technical knowledge and visual awareness while building a
portfolio in selected areas"
Anthropology of Aging,ANTH 436W,4,"ART 380
ART 485 Advanced Installation 3-6 credits
This studio course focuses on the planning and implementation of
site-specific work"
Applied Anthropology,ANTH 437,4,"ART 385 or consent
ART 492 Art History Seminar 1-6 credits
Specific problems in art emphasizing both individual research and
contributions to the seminar group on advanced, in-depth topics"
"or consent
ANTH 438W Anthropological Theory",ANTH 230,4,"Consent
ART 494 Topics 3 credits
Lecture/discussion/studio course on a selected area of discourse relating
to the study of Art History, Art Criticism, Art Education or Art Studio"
Qualitative Research Methods,ANTH 439,4,"Consent
ART 496 Art History Senior Thesis 1 credits
Capstone writing project"
"or consent
ANTH 440 Native American Cultures of North America",ANTH 220,4,"Consent of advisor
ART 497 Internship 1-6 credits
Field experience in professional settings relating to the specialization:
graphic design, museum or arts administration, etc"
People and Cultures of East Asia,ANTH 443W,4,Jr
Senior Thesis,ANTH 475,3,"Consent
Astronomy
AST 101 Introduction to Astronomy 3 credits
Broad survey of astronomy: the night sky, seasons, moon phases,
eclipses, light, telescopes, stars, stellar evolution, galaxies, cosmology,
the solar system"
Preparing for Leadership Careers,AOS 101,3,"AST 101
AST 201 Spherical Astronomy 2 credits
The celestial sphere"
Introduction to Applied Leadership,AOS 301,3,"MATH 121 and PHYS 221
212 2024-2025 Undergraduate Catalog www"
Applied Leadership Communication Workshop,AOS 320,3,"AST 215, MATH 122, PHYS 222
AST 351 Telescope Operations 2 credits
Operating the 0"
Applied Leadership Workshop 2,AOS 380W,3,"AST 201 and AST 215, Consent
AST 353 Photometry I 2 credits
Photometric systems"
Applied Leadership & Decision Making,AOS 420,3,"AST 215
AST 354 Photometry II 2 credits
Observations of extended sources"
Global Social Entrepreneurship,AOS 430,3,"AST 353
AST 355 Astrometry 2 credits
Reduction of digital images to determine positions, proper motions, and
parallaxes of stars"
Social Enterprise,AOS 440,3,"AST 201 and AST 215
AST 357 Spectroscopy 2 credits
Line identification"
Professional Studies Portfolio,AOS 488,2,"AST 225
AST 493 Undergraduate Research 1-6 credits
Students will conduct supervised research in astronomy"
AOS 492 Selected Topics,AOS 301,3,"Consent
AST 495 Selected Topics 1-4 credits
A course in a particular area of astronomy not regularly offered"
Elements and Principles of Art,ART 100,3,"Consent
AST 499 Individual Study 1-8 credits
Individual study under the guidance of an astronomy faculty member"
Design Foundations,ART 101,3,"Consent
Automotive Engineering
AE 102 Introduction to Automotive Engineering 1 credits
This course is designed to provide students new to the major an
opportunity to explore issues relevant to the university, department,
and career field"
Three-Dimensional Design,ART 103,3,"EET 113, AE 160, AE 261
AE 280 Data Acquisition and Analysis 3 credits
This is an introductory course to graphical programming and data
acquisition"
Drawing Foundations,ART 110,3,"EET 113, MATH 121
AE 334 Fluid Power 3 credits
This course focuses on fluid (both hydraulic and pneumatic) power
systems"
Introduction to Visual Culture,ART 160,3,"MATH 121, PHYS 221
www"
Introduction to Digital Media,ART 202,3,"MATH 121, PHYS 221
AE 366 Automotive Thermodynamics & Engine Design 3 credits
This course focuses on the study of thermodynamics as it relates to
internal combustion engines and their design"
Drawing,ART 210,3,"MATH 121, PHYS 221"
ART 212 Life Drawing,ART 110,3,"STAT 354
AE 436 Hybrid and Electric Vehicles 3 credits
This course covers advanced vehicle propulsion systems within the
electric and hybrid electric category"
ART 220 Graphic Design I,ART 110,3,"AE 280, AE 366
AE 465 Automotive Laboratory Experience 2 credits
This course is designed to provide experience in management,
organization, supervision, training, and maintenance in a laboratory
environment"
Mixed Media,ART 231,3,"AE 364
AE 468 Automotive Research Methods 4 credits
Automotive research techniques and equipment form the basis of this
course"
Painting,ART 240,3,"STAT 354, AE 366
AE 488W Senior Design Project I 3 credits
The first of a two-course sequence where students carry out their
capstone design project"
"or ART 101, ART 110 or consent
ART 245 Watercolor",ART 100,3,"MFE 341, AE 364, AE 387
AE 489W Senior Design Project II 3 credits
The second of a two-course sequence where students build upon the
first semester"
"or ART 101, ART 110 or consent
ART 250 Ceramics: Beginning Wheel",ART 100,3,"MFE 324, AE 468, AE 488W
Automotive Engineering Technology
AET 102 Introduction to Automotive Engineering
Technology 1 credits
An overview of careers, technology and requirements of the Automotive
Engineering Technology program"
Ceramics: Beginning Handbuilding,ART 251,3,"AET 160, AET 261, EET 113
AET 280 Data Acquisition and Analysis 3 credits
This is an introductory course to graphical programming and data
acquisition using LabVIEW"
Art History Survey I,ART 260,3,"EET 113, MATH 121
AET 334 Fluid Power 3 credits
Course provides a fundamental understanding of the physical principles
of fluid power, along with a practical working knowledge of the
components utilized in designing, installing, operating, and maintaining
hydraulic and pneumatic power systems"
Art History Survey II,ART 261,3,"MATH 121, PHYS 211
AET 364 Chassis Design and Performance Testing 4 credits
This course is an exploration of the theory and design of chassis systems,
in addition to evaluation of these designs"
Art As Politics,ART 265W,3,"MATH 121, PHYS 211
214 2024-2025 Undergraduate Catalog www"
"Printmaking: Beginning Silkscreen and
Lithography",ART 270,3,"CHEM 104, MATH 121, PHYS 211
AET 387 Junior Design Project 3 credits
An examination of automotive design and research along with a review
of topics such as ethics, professionalism, measurement, statistics, and
career development/placement"
Printmaking: Beginning Intaglio/Relief,ART 271,3,"ENG 271W, STAT 154
AET 398 CPT: Co-Operative Experience 0 credits
Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one summer and
an adjacent fall or spring term"
Introduction to Photography,ART 275,3,AET 102
Sculpture,ART 280,3,"Permission Required
AET 436 Hybrid and Electric Vehicles 3 credits
This course covers advanced vehicle propulsion systems within the
electric and hybrid electric category"
"or consent
ART 285 Introduction to Installation",ART 103,3,"AET 280, AET 366
AET 465 Automotive Laboratory Experience 2 credits
This course is designed to provide experience in management,
organization, supervision, and maintenance in a laboratory
environment"
"or consent
ART 294 Topics",ART 103,3,"AET 364, Permission required
AET 468 Automotive Research Methods 4 credits
Automotive research techniques and equipment form the basis of this
course"
Interaction Design,ART 302,3,"AET 366, PHYS 211, STAT 154
AET 488W Senior Design Project I 3 credits
The first of a two-course sequence where students carry out their
capstone design project"
ART 304 Typography I,ART 202,3,"MET 341, AET 364, AET 387
Corequisites: MET 324, AET 468
AET 489W Senior Design Project II 3 credits
The second of a two-course sequence where students build upon the
first semester"
ART 310 Drawing,ART 202,3,"AET 468, AET 488W, MET 324
AET 492 Automotive Seminar 1-4 credits
Selected automotive topics"
ART 320 Graphic Design II,ART 210,3,"Permission required
AET 497 Internship: Automotive 1-10 credits
Automotive work experience in an area pertinent to the student"
Concept and Image,ART 324,3,"40 earned credits in AET/MET
AET 499 Individual Study 1-4 credits
Prerequisites: Permission required
Aviation
AVIA 100 Aviation Program Orientation 1 credits
Required for new students entering the Aviation Program"
ART 340 Painting,ART 304,3,"AVIA 151, or equivalent
AVIA 201 Theory of Flight 3 credits
A study of physics and aerodynamic principles of flight and propulsion
systems"
"or consent F, S
Prerequisites: ART 240 or consent
ART 350 Intermediate Ceramics",ART 240,3,"PHYS 101, MATH 112"
"or ART 251
ART 370 Printmaking: Intermediate Studio",ART 250,3,"AVIA 150
AVIA 240 Instrument Pilot 3 credits
A study of the aeronautical knowledge including aviation regulations,
weather, instrument navigation, and instrument emergencies"
"or ART 271
ART 372 Digital Printmaking",ART 270,3,"AVIA 150, or equivalent
AVIA 241 Instrument Pilot Flight Lab 2 credits
Prepares advanced flight students with the in-flight requirements needed
to obtain the FAA Instrument Pilot rating"
ART 375 Intermediate Black and White Photography,ART 271,3,"AVIA 152
AVIA 243 Instrument Pilot Flight Lab II 1 credits
AVIA 243, Instrument Pilot Flight Lab II, continues the flight lab
progression in the MSU aviation program to the second stage of the
Instrument Pilot flight lab"
ART 377 Intermediate Digital Photography,ART 275,3,"AVIA 153, AVIA 240
AVIA 251 Commercial Pilot Flight Lab 2 credits
Prepares advanced flight students with the in-flight requirements needed
to obtain the FAA Commercial Pilot"
ART 378 Experimental Video,ART 275,3,"AVIA 152, AVIA 242
AVIA 253 Commercial Pilot Flight Lab II 2 credits
AVIA 253, Commercial Pilot Flight Lab II, continues the flight lab
progression in the MSU aviation program"
Sculpture,ART 380,3,"AVIA 150, AVIA 250, AVIA 260
AVIA 275 Helicopter Flight Theory 3 credits
This course covers all the knowledge areas required for the FAA
helicopter private, instrument and commercial pilot certification at a
deeper and more academic level"
ART 385 Intermediate Installation,ART 280,3,"ENG 271W or ENG 272W
216 2024-2025 Undergraduate Catalog www"
"or consent
ART 391 Portfolio Review",ART 285,0,"AVIA 201
AVIA 339 Aerospace Propulsion 3 credits
The course provides basic principles of operation and components
description of the traditional and modern propulsion systems used in
atmospheric and space transportation vehicles"
ART 392 Portfolio Review: Graphic Design,ART 104,0,"AVIA 240
AVIA 343 Airport Management 3 credits
Course provides students with an overview of airport management"
ART 402 Motion Graphics,ART 392,3,"AVIA 243, AVIA 250
AVIA 364 Flight Instructor Flight Lab 3 credits
Prepares advanced flight students with the in-flight requirements
needed to obtain the FAA Certified Flight Instructor certificate, FAA
Instrument Flight Instructor certificate, and FAA Multiengine Flight
Instructor certificate"
ART 404 Typography II,ARTR 392,3,"AVIA 160
AVIA 370 Confidence Maneuver Training flight lab 3 credits
An introduction to all-attitude flying in an aerobatic aircraft, to include
maneuvers such as stalls/spins, basic aerobatics, and Upset Prevention
and Recovery Training (UPRT) per ICAO SARP Annex 1, paragraph
2"
ART 405 Self-Initiated Design Workshop,ART 304,3,"AVIA 253
AVIA 375 UAS Telemetry and Communication 3 credits
This course will provide the student with knowledge of UAS telemetry
and communication"
Web Design I,ART 406,3,"AVIA 370
AVIA 383 Flight Instructor Helicopter Flight Lab 1 credits
Prepares advanced flight students with the in-flight requirements needed
to obtain the FAA Certified Flight Instructor Helicopter Certificate"
ART 417 Medieval Art and Architecture,ART 310,3,"AVIA 252
www"
"or consent
ART 419 Gender in Art",ART 260,3,"AVIA 242, AVIA 252
AVIA 432 Aviation Law "
ART 421 Art Methods Elementary School,ART 406,3,"AVIA 432
AVIA 436 Flight Operations and Procedures 3 credits
Introduces advanced professional flight students to FAR Part 121 style
standardized flight training in a regional jet"
Art Education for the Exceptional Child,ART 424,3,"AVIA 340
AVIA 437 Aviation Safety 3 credits
The understanding and implementation of safe operating procedures"
ART 426 Art Methods Secondary School,ART 421,3,"AVIA 150
AVIA 442 Fundamentals of Air Traffic Control 3 credits
To provide the student with the basic knowledge of ATC as a career and
the fundamentals necessary for FAA certification"
ART 434 Arts Administration,ART 421,3,"AVIA 240
AVIA 443 Airline Dispatch 3 credits
Introduces the workings of the complex system of air control in the US
and abroad"
Web Design II,ART 436,3,"AVIA 240, GEOG 217
AVIA 444 Aircraft Dispatcher 2 3 credits
Preparation for the Federal Aviation Administration (FAA) Aircraft
Dispatcher Certificate through an in-depth understanding of
regulations, meteorology, navigation, aircraft systems, communications,
air traffic control, emergency and abnormal procedures and practical
dispatch applications"
ART 444 Typography III,ART 340,3,"AVIA 443
AVIA 445 Aviation Human Factors 3 credits
A study of various techniques designed to enhance management and
leadership methods"
ART 460 Ancient Art,ART 350,3,"Select 1 course: AVIA 150 or AVIA 240
AVIA 450 Professional Pilot Theory 3 credits
This course is designed to develop students technical understanding
of information and knowledge required for Air Transport Pilots"
"or consent
ART 462 Renaissance Art",ART 260,3,"AVIA 253, AVIA 340
AVIA 451 Professional Flight Course 3 credits
Prepares students who desire careers as professional pilots"
"or consent
ART 463 Mannerism to Romanticism",ART 261,3,"AVIA 253
Corequisites: AVIA 450
AVIA 452 Professional Aviator Course 3 credits
This is a stand-alone course designed for the person who is not an
MSU aviation major"
ART 464 Art Museum and Exhibition Studies,ART 406,3,"AVIA 338
AVIA 458 Aeromedical Factors 3 credits
Covers aeromedical factors that are essential for high-altitude flying
aircraft"
ART 466 Realism to Postmodernism,ART 261,3,"CIS 350, AVIA 375
AVIA 480 UAS Emphasis Senior project/Capstone 4 credits
This course will review and expand on knowledge that has been taught
in the program"
"or consent
ART 467 Art of the Islamic World",ART 261,3,"AVIA 470
218 2024-2025 Undergraduate Catalog www"
Design: History and Theory,ART 468,3,"BIOL 104, GEOL 104
BIOL 211 Genetics 4 credits
Introduction to genetic analysis"
Asian Art,ART 469,3,"BIOL 105, BIOL 106, and MATH 112
BIOL 215 General Ecology 4 credits
Principles of the study of relationships between organisms and the
environment"
Roots of Modern Islamic Art,ART 477W,3,"BIOL 105 and BIOL 106 or consent
www"
Topics,ART 494,3,"BIOL 105 and BIOL 106 or consent
BIOL 220 Human Anatomy 4 credits
Systems approach to the structure of the human body"
Art History Senior Thesis,ART 496,1,"BIOL 146
BIOL 270 Microbiology 4 credits
An introduction to the general principles and methods used in the study
of microorganisms"
Introduction to Astronomy,AST 101,3,"One BIOL course and one semester of chemistry from among
CHEM 104, CHEM 106, CHEM 111, or CHEM 201"
Introduction to the Planets,AST 102,3,"BIOL 105, BIOL 106, BIOL 211
BIOL 305 Invertebrate Zoology 4 credits
This course will introduce students to the wide diversity of invertebrate
animals"
Life in the Universe,AST 115,2,"BIOL 105, BIOL 106
BIOL 306 Vertebrate Zoology 4 credits
This course will explore the diversity of vertebrate animals from
chordates ancestors, fishes, amphibians, reptiles, birds, and mammals"
Life in the Universe,AST 115W,2,"BIOL 105, BIOL 106
BIOL 310 Basics of Human Physiology 4 credits
Principles of functions of human cells, organs, and systems with an
emphasis on organ/system interactions"
Observational Astronomy,AST 125,3,"BIOL 220, CHEM 104 or CHEM 106 or CHEM 111 or CHEM
201
BIOL 320 Cell Biology 4 credits
An examination of eukaryotic cellular structure, organization and
physiology"
AST 201 Spherical Astronomy,AST 101,2,"BIOL 105 and BIOL 106, BIOL 211
BIOL 324 Neurobiology 3 credits
Basic anatomy and physiology of the nervous system"
Astronomy and Astrophysics I,AST 215,4,"BIOL 220
BIOL 325 Principles of Human Anatomy 4 credits
Systems and regional approach to the structure of the human body"
Astronomy and Astrophysics II,AST 225,4,"BIOL 105
BIOL 330 Principles of Human Physiology 4 credits
Principles of functions of human cells, organs, and systems with an
emphasis on organ/system interactions"
AST 351 Telescope Operations,PHYS 222,2,"BIOL 220, CHEM 104 or CHEM 106 or CHEM 111 or CHEM
201
BIOL 346 Advanced Agronomy 3 credits
Students will study management practices in the production of corn
and soybeans, the economic and environmental aspects of soil damage
systems, nutrient management recommendations for nitrogen and
phosphorus, and current topics in the agronomy field"
"and AST 215, Consent
AST 353 Photometry I",AST 201,2,"BIOL 146, BIOL 246
220 2024-2025 Undergraduate Catalog www"
